iter	Passed	Remaining
0	14	5668
1	27	5489
2	41	5509
3	55	5483
4	68	5417
5	83	5466
6	96	5418
7	109	5355
8	122	5305
9	135	5272
10	148	5239
11	161	5236
12	174	5207
13	188	5185
14	200	5156
15	214	5151
16	228	5146
17	242	5139
18	256	5134
19	269	5120
20	291	5269
21	316	5436
22	333	5458
23	346	5431
24	359	5397
25	372	5361
26	385	5327
27	398	5298
28	411	5263
29	425	5241
30	438	5214
31	451	5196
32	465	5173
33	479	5159
34	499	5207
35	522	5282
36	534	5244
37	551	5249
38	566	5242
39	579	5215
40	595	5210
41	608	5186
42	621	5162
43	634	5137
44	648	5116
45	664	5112
46	678	5095
47	693	5084
48	728	5219
49	747	5234
50	770	5274
51	785	5258
52	798	5230
53	811	5202
54	825	5178
55	838	5153
56	852	5130
57	867	5112
58	880	5088
59	894	5066
60	909	5051
61	933	5088
62	951	5090
63	969	5090
64	982	5063
65	995	5039
66	1009	5016
67	1023	4994
68	1036	4971
69	1049	4948
70	1063	4929
71	1077	4909
72	1092	4895
73	1107	4878
74	1132	4908
75	1154	4920
76	1172	4917
77	1185	4895
78	1199	4872
79	1212	4849
80	1225	4827
81	1239	4808
82	1254	4790
83	1267	4768
84	1281	4747
85	1295	4728
86	1309	4709
87	1322	4687
88	1345	4701
89	1371	4724
90	1393	4731
91	1410	4720
92	1425	4706
93	1440	4688
94	1453	4665
95	1467	4648
96	1481	4626
97	1495	4608
98	1509	4590
99	1529	4587
100	1553	4599
101	1570	4588
102	1585	4572
103	1599	4553
104	1614	4535
105	1628	4516
106	1642	4497
107	1655	4475
108	1669	4456
109	1683	4438
110	1696	4417
111	1710	4398
112	1724	4379
113	1742	4371
114	1765	4376
115	1785	4370
116	1802	4360
117	1816	4340
118	1829	4319
119	1844	4303
120	1859	4286
121	1872	4267
122	1886	4248
123	1899	4228
124	1913	4210
125	1927	4192
126	1941	4173
127	1973	4193
128	1991	4183
129	2015	4186
130	2032	4172
131	2045	4153
132	2058	4132
133	2071	4112
134	2085	4093
135	2098	4073
136	2112	4055
137	2125	4035
138	2139	4017
139	2164	4019
140	2183	4011
141	2201	3999
142	2214	3979
143	2228	3961
144	2242	3943
145	2256	3925
146	2269	3906
147	2282	3886
148	2295	3867
149	2308	3848
150	2322	3830
151	2336	3812
152	2349	3793
153	2368	3783
154	2392	3781
155	2410	3769
156	2424	3752
157	2437	3733
158	2451	3715
159	2465	3698
160	2479	3680
161	2492	3662
162	2505	3643
163	2519	3625
164	2532	3607
165	2546	3590
166	2561	3574
167	2587	3573
168	2616	3576
169	2637	3567
170	2652	3552
171	2666	3534
172	2679	3516
173	2693	3498
174	2707	3480
175	2720	3462
176	2734	3444
177	2748	3428
178	2762	3410
179	2780	3398
180	2804	3393
181	2821	3380
182	2836	3363
183	2850	3346
184	2864	3329
185	2877	3311
186	2890	3292
187	2903	3274
188	2917	3256
189	2931	3239
190	2944	3222
191	2958	3205
192	2972	3187
193	2985	3170
194	3004	3158
195	3027	3150
196	3042	3135
197	3060	3122
198	3073	3104
199	3087	3087
200	3101	3070
201	3115	3053
202	3128	3035
203	3141	3018
204	3155	3001
205	3169	2984
206	3183	2967
207	3196	2950
208	3222	2945
209	3246	2937
210	3271	2930
211	3287	2915
212	3301	2898
213	3316	2882
214	3330	2865
215	3344	2849
216	3358	2832
217	3371	2814
218	3385	2798
219	3399	2781
220	3413	2764
221	3444	2761
222	3461	2747
223	3476	2731
224	3490	2715
225	3504	2697
226	3518	2681
227	3532	2664
228	3546	2648
229	3560	2631
230	3574	2614
231	3587	2597
232	3602	2581
233	3616	2565
234	3639	2555
235	3660	2543
236	3677	2529
237	3690	2512
238	3703	2495
239	3718	2478
240	3731	2461
241	3744	2444
242	3757	2427
243	3771	2411
244	3785	2394
245	3799	2378
246	3813	2361
247	3849	2359
248	3871	2347
249	3889	2333
250	3905	2318
251	3919	2301
252	3932	2284
253	3945	2268
254	3959	2251
255	3972	2234
256	3987	2218
257	4001	2202
258	4015	2185
259	4028	2169
260	4055	2159
261	4076	2147
262	4091	2131
263	4106	2115
264	4120	2098
265	4133	2082
266	4146	2065
267	4159	2048
268	4174	2032
269	4187	2016
270	4200	1999
271	4214	1983
